entries,broad,narrow
female,female,female
male,male,male
androgynous,androgynous,other
non-binary,non-binary,other
nonbinary,non-binary,other
non binary,non-binary,other
trans,transgender,other
trans man,transgender male,male
trans woman,transgender female,female
transman,transgender male,male
transwoman,transgender female,female
transgender man,transgender male,male
transgenderman,transgender male,male
transgender male,transgender male,male
transgendermale,transgender male,male
transgender woman,transgender female,female
transgender female,transgender female,female
transgenderwoman,transgender female,female
transgenderfemale,transgender female,female
cis woman,cis female,female
ciswoman,cis female,female
cisfemale,cis female,female
cis female,cis female,female
female (cisgender),cis female,female
cis man,cis male,male
cisman,cis male,male
cismale,cis male,male
cis male,cis male,male
male (cisgender),cis male,male
girl,female,female
boy,male,male
intersex,intersex,other
m2f,transgender female,female
f2m,transgender male,male
mtf,transgender female,female
ftm,transgender male,male
m,male,male
f,female,female
w,female,female
man,male,male
woman,female,female
famela,female,female
fem,female,female
femaiil,female,female
femaile,female,female
femalep,female,female
feminine,female,female
g,female,female
maill,male,male
malae,male,male
man,male,male
nb,non-binary,other
enby,non-binary,other
agender,agender,other
genderqueer,genderqueer,other
gender queer,genderqueer,other
